Korean,English,Japanese
분노,rage,いかり
순간이동,teleport,テレポート
나이트헤드,night shade,ナイトヘッド
흉내내기,mimic,ものまね
싫은소리,screech,いやなおと
그림자분신,double team,かげぶんしん
HP회복,recover,じこさいせい
단단해지기,harden,かたくなる
작아지기,minimize,ちいさくなる
연막,smokescreen,えんまく
이상한빛,confuse ray,あやしいひかり
껍질에숨기,withdraw,からにこもる
웅크리기,defense curl,まるくなる
배리어,barrier,バリアー
빛의장막,light screen,ひかりのかべ
흑안개,haze,くろいきり
리플렉터,reflect,リフレクター
기충전,focus energy,きあいだめ
참기,bide,がまん
손가락흔들기,metronome,ゆびをふる
따라하기,mirror move,オウムがえし
자폭,self-destruct,じばく
알폭탄,egg bomb,タマゴばくだん
핥기,lick,したでなめる
스모그,smog,スモッグ
오물공격,sludge,ヘドロこうげき
뼈다귀치기,bone club,ホネこんぼう
불대문자,fire blast,だいもんじ
폭포오르기,waterfall,たきのぼり
껍질끼우기,clamp,からではさむ
스피드스타,swift,スピードスター
로케트박치기,skull bash,ロケットずつき
가시대포,spike cannon,とげキャノン
휘감기,constrict,からみつく
망각술,amnesia,ドわすれ
숟가락휘기,kinesis,スプーンまげ
알낳기,soft-boiled,タマゴうみ
무릎차기,high jump kick,とびひざげり
뱀눈초리,glare,へびにらみ
꿈먹기,dream eater,ゆめくい
독가스,poison gas,どくガス
구슬던지기,barrage,たまなげ
흡혈,leech life,きゅうけつ
악마의키스,lovely kiss,あくまのキッス
불새,sky attack,ゴッドバード
변신,transform,へんしん
거품,bubble,あわ
잼잼펀치,dizzy punch,ピヨピヨパンチ
버섯포자,spore,キノコのほうし
플래시,flash,フラッシュ
사이코웨이브,psywave,サイコウェーブ
튀어오르기,splash,はねる
녹기,acid armor,とける
찝게햄머,crabhammer,クラブハンマー
대폭발,explosion,だいばくはつ
마구할퀴기,fury swipes,みだれひっかき
뼈다귀부메랑,bonemerang,ホネブーメラン
잠자기,rest,ねむる
스톤샤워,rock slide,いわなだれ
필살앞니,hyper fang,ひっさつまえば
각지기,sharpen,かくばる
텍스처,conversion,テクスチャー
트라이어택,tri attack,トライアタック
분노의앞니,super fang,いかりのまえば
베어가르기,slash,きりさく
대타출동,substitute,みがわり
발버둥,struggle,わるあがき
스케치,sketch,スケッチ
트리플킥,triple kick,トリプルキック
도둑질,thief,どろぼう
거미집,spider web,クモのす
마음의눈,mind reader,こころのめ
악몽,nightmare,あくむ
화염자동차,flame wheel,かえんぐるま
코골기,snore,いびき
저주,curse,のろい
바둥바둥,flail,じたばた
텍스처2,conversion 2,テクスチャー２
에어로블라스트,aeroblast,エアロブラスト
목화포자,cotton spore,わたほうし
기사회생,reversal,きしかいせい
원한,spite,うらみ
눈싸라기,powder snow,こなゆき
방어,protect,まもる
마하펀치,mach punch,マッハパンチ
겁나는얼굴,scary face,こわいかお
속여때리기,feint attack,だましうち
천사의키스,sweet kiss,てんしのキッス
배북,belly drum,はらだいこ
오물폭탄,sludge bomb,ヘドロばくだん
진흙뿌리기,mud-slap,どろかけ
대포무노포,octazooka,オクタンほう
압정뿌리기,spikes,まきびし
전자포,zap cannon,でんじほう
꿰뚫어보기,foresight,みやぶる
길동무,destiny bond,みちづれ
멸망의노래,perish song,ほろびのうた
얼다바람,icy wind,こごえるかぜ
판별,detect,みきり
본러쉬,bone rush,ボーンラッシュ
록온,lock-on,ロックオン
역린,outrage,げきりん
모래바람,sandstorm,すなあらし
기가드레인,giga drain,ギガドレイン
버티기,endure,こらえる
애교부리기,charm,あまえる
구르기,rollout,ころがる
칼등치기,false swipe,みねうち
뽐내기,swagger,いばる
우유마시기,milk drink,ミルクのみ
스파크,spark,スパーク
연속자르기,fury cutter,れんぞくぎり
강철날개,steel wing,はがねのつばさ
검은눈빛,mean look,くろいまなざし
헤롱헤롱,attract,メロメロ
잠꼬대,sleep talk,ねごと
치료방울,heal bell,いやしのすず
은혜갚기,return,おんがえし
프레젠트,present,プレゼント
화풀이,frustration,やつあたり
신비의부적,safeguard,しんぴのまもり
아픔나누기,pain split,いたみわけ
성스러운불꽃,sacred fire,せいなるほのお
매그니튜드,magnitude,マグニチュード
폭발펀치,dynamic punch,ばくれつパンチ
메가폰,megahorn,メガホーン
용의숨결,dragon breath,りゅうのいぶき
바톤터치,baton pass,バトンタッチ
앵콜,encore,アンコール
따라가때리기,pursuit,おいうち
고속스핀,rapid spin,こうそくスピン
달콤한향기,sweet scent,あまいかおり
아이언테일,iron tail,アイアンテール
메탈크로우,metal claw,メタルクロー
받아던지기,vital throw,あてみなげ
아침햇살,morning sun,あさのひざし
광합성,synthesis,こうごうせい
달의불빛,moonlight,つきのひかり
잠재파워,hidden power,めざめるパワー
크로스촙,cross chop,クロスチョップ
회오리,twister,たつまき
비바라기,rain dance,あまごい
쾌청,sunny day,にほんばれ
깨물어부수기,crunch,かみくだく
미러코트,mirror coat,ミラーコート
자기암시,psych up,じこあんじ
신속,extreme speed,しんそく
원시의힘,ancient power,げんしのちから
섀도볼,shadow ball,シャドーボール
미래예지,future sight,みらいよち
바위깨기,rock smash,いわくだき
바다회오리,whirlpool,うずしお
집단구타,beat up,ふくろだたき
속이다,fake out,ねこだまし
소란피기,uproar,さわぐ
비축하기,stockpile,たくわえる
토해내기,spit up,はきだす
꿀꺽,swallow,のみこむ
열풍,heat wave,ねっぷう
싸라기눈,hail,あられ
트집,torment,いちゃもん
부추기기,flatter,おだてる
도깨비불,will-o-wisp,おにび
추억의선물,memento,おきみやげ
객기,facade,からげんき
힘껏펀치,focus punch,きあいパンチ
정신차리기,smelling salts,きつけ
날따름,follow me,このゆびとまれ
자연의힘,nature power,しぜんのちから
충전,charge,じゅうでん
도발,taunt,ちょうはつ
도우미,helping hand,てだすけ
트릭,trick,トリック
역할,role play,なりきり
희망사항,wish,ねがいごと
조수,assist,ねこのて
뿌리박기,ingrain,ねをはる
엄청난힘,superpower,ばかぢから
매직코트,magic coat,マジックコート
리사이클,recycle,リサイクル
리벤지,revenge,リベンジ
깨트리다,brick break,かわらわり
하품,yawn,あくび
탁쳐서떨구기,knock off,はたきおとす
죽기살기,endeavor,がむしゃら
분화,eruption,ふんか
스킬스웹,skill swap,スキルスワップ
봉인,imprison,ふういん
리프레쉬,refresh,リフレッシュ
원념,grudge,おんねん
가로챔,snatch,よこどり
비밀의힘,secret power,ひみつのちから
다이빙,dive,ダイビング
손바닥치기,arm thrust,つっぱり
보호색,camouflage,ほごしょく
반딧불,tail glow,ほたるび
라스트버지,luster purge,ラスターパージ
미스트볼,mist ball,ミストボール
깃털댄스,feather dance,フェザーダンス
흔들흔들댄스,teeter dance,フラフラダンス
브레이즈킥,blaze kick,ブレイズキック
흙놀이,mud sport,どろあそび
아이스볼,ice ball,アイスボール
바늘팔,needle arm,ニードルアーム
태만함,slack off,なまける
하이퍼보이스,hyper voice,ハイパーボイス
독엄니,poison fang,どくどくのキバ
브레이크크루,crush claw,ブレイククロー
블러스트번,blast burn,ブラストバーン
하이드로캐논,hydro cannon,ハイドロカノン
코멧펀치,meteor mash,コメットパンチ
놀래키기,astonish,おどろかす
웨더볼,weather ball,ウェザーボール
아로마테라피,aromatherapy,アロマセラピー
거짓울음,fake tears,うそなき
에어컷터,air cutter,エアカッター
오버히트,overheat,オーバーヒート
냄새구별,odor sleuth,かぎわける
암석봉인,rock tomb,がんせきふうじ
은빛바람,silver wind,ぎんいろのかぜ
금속음,metal sound,きんぞくおん
풀피리,grass whistle,くさぶえ
간지르기,tickle,くすぐる
코스믹파워,cosmic power,コスモパワー
해수스파우팅,water spout,しおふき
시그널빔,signal beam,シグナルビーム
섀도펀치,shadow punch,シャドーパンチ
신통력,extrasensory,じんつうりき
스카이업퍼,sky uppercut,スカイアッパー
모래지옥,sand tomb,すなじごく
절대영도,sheer cold,ぜったいれいど
탁류,muddy water,だくりゅう
기관총,bullet seed,タネマシンガン
제비반환,aerial ace,つばめがえし
고드름침,icicle spear,つららばり
철벽,iron defense,てっぺき
블록,block,とおせんぼう
멀리짖음,howl,とおぼえ
드래곤크루,dragon claw,ドラゴンクロー
하드플랜트,frenzy plant,ハードプラント
벌크업,bulk up,ビルドアップ
뛰어오르다,bounce,とびはねる
머드숏,mud shot,マッドショット
포이즌테일,poison tail,ポイズンテール
탐내다,covet,ほしがる
볼트태클,volt tackle,ボルテッカー
메지컬리프,magical leaf,マジカルリーフ
물놀이,water sport,みずあそび
명상,calm mind,めいそう
리프블레이드,leaf blade,リーフブレード
용의춤,dragon dance,りゅうのまい
락블레스트,rock blast,ロックブラスト
전격파,shock wave,でんげきは
물의파동,water pulse,みずのはどう
파멸의소원,doom desire,はめつのねがい
사이코부스트,psycho boost,サイコブースト
날개쉬기,roost,はねやすめ
중력,gravity,じゅうりょく
미라클아이,miracle eye,ミラクルアイ
잠깨움뺨치기,wake-up slap,めざましビンタ
암해머,hammer arm,アームハンマー
자이로볼,gyro ball,ジャイロボール
치유소원,healing wish,いやしのねがい
소금물,brine,しおみず
자연의은혜,natural gift,しぜんのめぐみ
페인트,feint,フェイント
쪼아대기,pluck,ついばむ
순풍,tailwind,おいかぜ
경혈찌르기,acupressure,つぼをつく
메탈버스트,metal burst,メタルバースト
유턴,u-turn,とんぼがえり
인파이트,close combat,インファイト
보복,payback,しっぺがえし
승부굳히기,assurance,ダメおし
금제,embargo,さしおさえ
내던지기,fling,なげつける
사이코시프트,psycho shift,サイコシフト
마지막수단,trump card,きりふだ
회복봉인,heal block,かいふくふうじ
쥐어짜기,wring out,しぼりとる
파워트릭,power trick,パワートリック
위액,gastro acid,いえき
주술,lucky chant,おまじない
선취,me first,さきどり
흉내쟁이,copycat,まねっこ
파워스웹,power swap,パワースワップ
가드스웹,guard swap,ガードスワップ
혼내기,punishment,おしおき
뒀다쓰기,last resort,とっておき
고민씨,worry seed,なやみのタネ
기습,sucker punch,ふいうち
독압정,toxic spikes,どくびし
하트스웹,heart swap,ハートスワップ
아쿠아링,aqua ring,アクアリング
전자부유,magnet rise,でんじふゆう
플레어드라이브,flare blitz,フレアドライブ
발경,force palm,はっけい
파동탄,aura sphere,はどうだん
록커트,rock polish,ロックカット
독찌르기,poison jab,どくづき
악의파동,dark pulse,あくのはどう
깜짝베기,night slash,つじぎり
아쿠아테일,aqua tail,アクアテール
씨폭탄,seed bomb,タネばくだん
에어슬래시,air slash,エアスラッシュ
시저크로스,x-scissor,シザークロス
벌레의야단법석,bug buzz,むしのさざめき
용의파동,dragon pulse,りゅうのはどう
드래곤다이브,dragon rush,ドラゴンダイブ
파워젬,power gem,パワージェム
드레인펀치,drain punch,ドレインパンチ
진공파,vacuum wave,しんくうは
기합구슬,focus blast,きあいだま
에너지볼,energy ball,エナジーボール
브레이브버드,brave bird,ブレイブバード
대지의힘,earth power,だいちのちから
바꿔치기,switcheroo,すりかえ
기가임팩트,giga impact,ギガインパクト
나쁜음모,nasty plot,わるだくみ
불릿펀치,bullet punch,バレットパンチ
눈사태,avalanche,ゆきなだれ
얼음뭉치,ice shard,こおりのつぶて
섀도크루,shadow claw,シャドークロー
번개엄니,thunder fang,かみなりのキバ
얼음엄니,ice fang,こおりのキバ
불꽃엄니,fire fang,ほのおのキバ
야습,shadow sneak,かげうち
진흙폭탄,mud bomb,どろばくだん
사이코커터,psycho cut,サイコカッター
사념의박치기,zen headbutt,しねんのずつき
미러숏,mirror shot,ミラーショット
러스터캐논,flash cannon,ラスターカノン
락클라임,rock climb,ロッククライム
안개제거,defog,きりばらい
트릭룸,trick room,トリックルーム
용성군,draco meteor,りゅうせいぐん
방전,discharge,ほうでん
분연,lava plume,ふんえん
리프스톰,leaf storm,リーフストーム
파워휩,power whip,パワーウィップ
암석포,rock wrecker,がんせきほう
크로스포이즌,cross poison,クロスポイズン
더스트슈트,gunk shot,ダストシュート
아이언헤드,iron head,アイアンヘッド
마그넷봄,magnet bomb,マグネットボム
스톤에지,stone edge,ストーンエッジ
유혹,captivate,ゆうわく
스텔스록,stealth rock,ステルスロック
풀묶기,grass knot,くさむすび
수다,chatter,おしゃべり
심판의뭉치,judgment,さばきのつぶて
벌레먹음,bug bite,むしくい
차지빔,charge beam,チャージビーム
우드해머,wood hammer,ウッドハンマー
아쿠아제트,aqua jet,アクアジェット
공격지령,attack order,こうげきしれい
방어지령,defend order,ぼうぎょしれい
회복지령,heal order,かいふくしれい
양날박치기,head smash,もろはのずつき
더블어택,double hit,ダブルアタック
시간의포효,roar of time,ときのほうこう
공간절단,spacial rend,あくうせつだん
초승달춤,lunar dance,みかづきのまい
묵사발,crush grip,にぎりつぶす
마그마스톰,magma storm,マグマストーム
다크홀,dark void,ダークホール
시드플레어,seed flare,シードフレア
괴상한바람,ominous wind,あやしいかぜ
섀도다이브,shadow force,シャドーダイブ
손톱갈기,hone claws,つめとぎ
와이드가드,wide guard,ワイドガード
가드셰어,guard split,ガードシェア
파워셰어,power split,パワーシェア
원더룸,wonder room,ワンダールーム
사이코쇼크,psyshock,サイコショック
베놈쇼크,venoshock,ベノムショック
바디퍼지,autotomize,ボディパージ
분노가루,rage powder,いかりのこな
텔레키네시스,telekinesis,テレキネシス
매직룸,magic room,マジックルーム
떨어뜨리기,smack down,うちおとす
업어후리기,storm throw,やまあらし
불꽃튀기기,flame burst,はじけるほのお
오물웨이브,sludge wave,ヘドロウェーブ
나비춤,quiver dance,ちょうのまい
헤비봄버,heavy slam,ヘビーボンバー
싱크로노이즈,synchronoise,シンクロノイズ
일렉트릭볼,electro ball,エレキボール
물붓기,soak,みずびたし
니트로차지,flame charge,ニトロチャージ
똬리틀기,coil,とぐろをまく
로킥,low sweep,ローキック
애시드봄,acid spray,アシッドボム
속임수,foul play,イカサマ
심플빔,simple beam,シンプルビーム
동료만들기,entrainment,なかまづくり
당신먼저,after you,おさきにどうぞ
돌림노래,round,りんしょう
에코보이스,echoed voice,エコーボイス
야금야금,chip away,なしくずし
클리어스모그,clear smog,クリアスモッグ
어시스트파워,stored power,アシストパワー
퍼스트가드,quick guard,ファストガード
사이드체인지,ally switch,サイドチェンジ
열탕,scald,ねっとう
껍질깨기,shell smash,からをやぶる
치유파동,heal pulse,いやしのはどう
병상첨병,hex,たたりめ
프리폴,sky drop,フリーフォール
기어체인지,shift gear,ギアチェンジ
배대뒤치기,circle throw,ともえなげ
불태우기,incinerate,やきつくす
순서미루기,quash,さきおくり
애크러뱃,acrobatics,アクロバット
미러타입,reflect type,ミラータイプ
원수갚기,retaliate,かたきうち
목숨걸기,final gambit,いのちがけ
기프트패스,bestow,ギフトパス
연옥,inferno,れんごく
물의맹세,water pledge,みずのちかい
불꽃의맹세,fire pledge,ほのおのちかい
풀의맹세,grass pledge,くさのちかい
볼트체인지,volt switch,ボルトチェンジ
벌레의저항,struggle bug,むしのていこう
땅고르기,bulldoze,じならし
얼음숨결,frost breath,こおりのいぶき
드래곤테일,dragon tail,ドラゴンテール
분발,work up,ふるいたてる
일렉트릭네트,electroweb,エレキネット
와일드볼트,wild charge,ワイルドボルト
드릴라이너,drill run,ドリルライナー
더블촙,dual chop,ダブルチョップ
하트스탬프,heart stamp,ハートスタンプ
우드호른,horn leech,ウッドホーン
성스러운칼,sacred sword,せいなるつるぎ
셸블레이드,razor shell,シェルブレード
히트스탬프,heat crash,ヒートスタンプ
그래스믹서,leaf tornado,グラスミキサー
하드롤러,steamroller,ハードローラー
코튼가드,cotton guard,コットンガード
나이트버스트,night daze,ナイトバースト
사이코브레이크,psystrike,サイコブレイク
스위프뺨치기,tail slap,スイープビンタ
폭풍,hurricane,ぼうふう
아프로브레이크,head charge,アフロブレイク
기어소서,gear grind,ギアソーサー
화염탄,searing shot,かえんだん
테크노버스터,techno blast,テクノバスター
옛노래,relic song,いにしえのうた
신비의칼,secret sword,しんぴのつるぎ
얼다세계,glaciate,こごえるせかい
뇌격,bolt strike,らいげき
푸른불꽃,blue flare,あおいほのお
불꽃춤,fiery dance,ほのおのまい
프리즈볼트,freeze shock,フリーズボルト
콜드플레어,ice burn,コールドフレア
바크아웃,snarl,バークアウト
고드름떨구기,icicle crash,つららおとし
V제너레이트,v-create,Ｖジェネレート
크로스플레임,fusion flare,クロスフレイム
크로스썬더,fusion bolt,クロスサンダー
플라잉프레스,flying press,フライングプレス
마룻바닥세워막기,mat block,たたみがえし
트림,belch,ゲップ
일구기,rototiller,たがやす
끈적끈적네트,sticky web,ねばねばネット
마지막일침,fell stinger,とどめばり
고스트다이브,phantom force,ゴーストダイブ
핼러윈,trick-or-treat,ハロウィン
부르짖기,noble roar,おたけび
플라스마샤워,ion deluge,プラズマシャワー
파라볼라차지,parabolic charge,パラボラチャージ
숲의저주,forest’s curse,もりののろい
꽃보라,petal blizzard,はなふぶき
프리즈드라이,freeze-dry,フリーズドライ
차밍보이스,disarming voice,チャームボイス
막말내뱉기,parting shot,すてゼリフ
뒤집어엎기,topsy-turvy,ひっくりかえす
드레인키스,draining kiss,ドレインキッス
트릭가드,crafty shield,トリックガード
플라워가드,flower shield,フラワーガード
그래스필드,grassy terrain,グラスフィールド
미스트필드,misty terrain,ミストフィールド
송전,electrify,そうでん
치근거리기,play rough,じゃれつく
요정의바람,fairy wind,ようせいのかぜ
문포스,moonblast,ムーンフォース
폭음파,boomburst,ばくおんぱ
페어리록,fairy lock,フェアリーロック
킹실드,king’s shield,キングシールド
친해지기,play nice,なかよくする
비밀이야기,confide,ないしょばなし
다이아스톰,diamond storm,ダイヤストーム
스팀버스트,steam eruption,スチームバースト
다른차원홀,hyperspace hole,いじげんホール
물수리검,water shuriken,みずしゅりけん
매지컬플레임,mystical fire,マジカルフレイム
니들가드,spiky shield,ニードルガード
아로마미스트,aromatic mist,アロマミスト
괴전파,eerie impulse,かいでんぱ
베놈트랩,venom drench,ベノムトラップ
분진,powder,ふんじん
지오컨트롤,geomancy,ジオコントロール
자기장조작,magnetic flux,じばそうさ
해피타임,happy hour,ハッピータイム
일렉트릭필드,electric terrain,エレキフィールド
매지컬샤인,dazzling gleam,マジカルシャイン
축하,celebrate,おいわい
손에손잡기,hold hands,てをつなぐ
초롱초롱눈동자,baby-doll eyes,つぶらなひとみ
볼부비부비,nuzzle,ほっぺすりすり
적당히손봐주기,hold back,てかげん
엉겨붙기,infestation,まとわりつく
그로우펀치,power-up punch,グロウパンチ
데스윙,oblivion wing,デスウイング
사우전드애로,thousand arrows,サウザンアロー
사우전드웨이브,thousand waves,サウザンウェーブ
그라운드포스,land’s wrath,グランドフォース
파멸의빛,light of ruin,はめつのひかり
근원의파동,origin pulse,こんげんのはどう
단애의칼,precipice blades,だんがいのつるぎ
화룡점정,dragon ascent,ガリョウテンセイ
다른차원러시,hyperspace fury,いじげんラッシュ
10만마력,high horsepower,１０まんばりき
DD래리어트,darkest lariat,ＤＤラリアット
그림자꿰메기,spirit shackle,かげぬい
기어오르기,power trip,つけあがる
꽃가루경단,pollen puff,かふんだんご
나뭇잎,leafage,このは
눈물그렁그렁,tearful look,なみだめ
덤벼들기,lunge,とびかかる
독실,toxic thread,どくのいと
드래곤해머,dragon hammer,ドラゴンハンマー
만나자마자,first impression,であいがしら
멀티어택,multi-attack,マルチアタック
메테오드라이브,sunsteel strike,メテオドライブ
모래모으기,shore up,すなあつめ
물거품아리아,sparkling aria,うたかたのアリア
부리캐논,beak blast,くちばしキャノン
분함의발구르기,stomping tantrum,じだんだ
불꽃채찍,fire lash,ほのおのムチ
불사르기,burn up,もえつきる
사이코팽,psychic fangs,サイコファング
사이코필드,psychic terrain,サイコフィールド
섀도레이,moongeist beam,シャドーレイ
섀도본,shadow bone,シャドーボーン
섀도스틸,spectral thief,シャドースチール
세차게휘두르기,brutal swing,ぶんまわす
솔라블레이드,solar blade,ソーラーブレード
스마트호른,smart strike,スマートホーン
스케일노이즈,clanging scales,スケイルノイズ
스포트라이트,spotlight,スポットライト
스피드스웹,speed swap,スピードスワップ
아이스해머,ice hammer,アイスハンマー
아쿠아브레이크,liquidation,アクアブレイク
앵커숏,anchor shot,アンカーショット
어시스트기어,gear up,アシストギア
엑셀록,accelerock,アクセルロック
예민해지기,laser focus,とぎすます
오로라베일,aurora veil,オーロラベール
자연의분노,nature's madness,しぜんのいかり
잠재댄스,revelation dance,めざめるダンス
정화,purify,じょうか
지옥찌르기,throat chop,じごくづき
지휘,instruct,さいはい
찌리리따끔따끔,zing zap,びりびりちくちく
코어퍼니셔,core enforcer,コアパニッシャー
토치카,baneful bunker,トーチカ
트랩셸,shell trap,トラップシェル
트로피컬킥,trop kick,トロピカルキック
프리즘레이저,prismatic laser,プリズムレーザー
플라워힐,floral healing,フラワーヒール
플뢰르캐논,fleur cannon,フルールカノン
힘흡수,strength sap,ちからをすいとる
더블펀처,double iron bash,ダブルパンツァー
다이맥스포,dynamax cannon,ダイマックスほう
노려맞히기,snipe shot,ねらいうち
물고버티기,jaw lock,くらいつく
볼가득넣기,stuff cheeks,ほおばる
배수의진,no retreat,はいすいのじん
타르숏,tar shot,タールショット
마법가루,magic powder,まほうのこな
드래곤애로,dragon darts,ドラゴンアロー
다과회,teatime,おちゃかい
문어굳히기,octolock,たこがため
전격부리,bolt beak,でんげきくちばし
아가미물기,fishious rend,エラがみ
코트체인지,court change,コートチェンジ
소울비트,clangorous soul,ソウルビート
바디프레스,body press,ボディプレス
데코레이션,decorate,デコレーション
드럼어택,drum beating,ドラムアタック
집게덫,snap trap,トラバサミ
화염볼,pyro ball,かえんボール
거수참,behemoth blade,きょじゅうざん
거수탄,behemoth bash,きょじゅうだん
오라휠,aura wheel,オーラぐるま
와이드브레이커,breaking swipe,ワイドブレイカー
가지찌르기,branch poke,えだづき
오버드라이브,overdrive,オーバードライブ
사과산,apple acid,りんごさん
G의힘,grav apple,Ｇのちから
소울크래시,spirit break,ソウルクラッシュ
원더스팀,strange steam,ワンダースチーム
생명의물방울,life dew,いのちのしずく
블로킹,obstruct,ブロッキング
사죄의찌르기,false surrender,どげざつき
스타어설트,meteor assault,スターアサルト
철제광선,steel beam,てっていこうせん
