Korean,English,Japanese
레디바,ledyba,レディバ
레디안,ledian,レディアン
페이검,spinarak,イトマル
아리아도스,ariados,アリアドス
크로뱃,crobat,クロバット
초라기,chinchou,チョンチー
랜턴,lanturn,ランターン
피츄,pichu,ピチュー
삐,cleffa,ピィ
푸푸린,igglybuff,ププリン
토게피,togepi,トゲピー
토게틱,togetic,トゲチック
네이티,natu,ネイティ
네이티오,xatu,ネイティオ
메리프,mareep,メリープ
보송송,flaaffy,モココ
전룡,ampharos,デンリュウ
아르코,bellossom,キレイハナ
마릴,marill,マリル
마릴리,azumarill,マリルリ
꼬지모,sudowoodo,ウソッキー
왕구리,politoed,ニョロトノ
통통코,hoppip,ハネッコ
두코,skiploom,ポポッコ
솜솜코,jumpluff,ワタッコ
에이팜,aipom,エイパム
해너츠,sunkern,ヒマナッツ
해루미,sunflora,キマワリ
왕자리,yanma,ヤンヤンマ
우파,wooper,ウパー
누오,quagsire,ヌオー
에브이,espeon,エーフィ
블래키,umbreon,ブラッキー
니로우,murkrow,ヤミカラス
야도킹,slowking,ヤドキング
무우마,misdreavus,ムウマ
안농,unown,アンノーン
마자용,wobbuffet,ソーナンス
키링키,girafarig,キリンリキ
피콘,pineco,クヌギダマ
쏘콘,forretress,フォレトス
노고치,dunsparce,ノコッチ
글라이거,gligar,グライガー
강철톤,steelix,ハガネール
블루,snubbull,ブルー
그랑블루,granbull,グランブル
침바루,qwilfish,ハリーセン
핫삼,scizor,ハッサム
단단지,shuckle,ツボツボ
헤라크로스,heracross,ヘラクロス
포푸니,sneasel,ニューラ
깜지곰,teddiursa,ヒメグマ
링곰,ursaring,リングマ
마그마그,slugma,マグマッグ
마그카르고,magcargo,マグカルゴ
꾸꾸리,swinub,ウリムー
메꾸리,piloswine,イノムー
코산호,corsola,サニーゴ
총어,remoraid,テッポウオ
대포무노,octillery,オクタン
딜리버드,delibird,デリバード
만타인,mantine,マンタイン
무장조,skarmory,エアームド
델빌,houndour,デルビル
헬가,houndoom,ヘルガー
킹드라,kingdra,キングドラ
코코리,phanpy,ゴマゾウ
코리갑,donphan,ドンファン
폴리곤2,porygon2,ポリゴン２
노라키,stantler,オドシシ
루브도,smeargle,ドーブル
배루키,tyrogue,バルキー
카포에라,hitmontop,カポエラー
뽀뽀라,smoochum,ムチュール
에레키드,elekid,エレキッド
마그비,magby,ブビィ
밀탱크,miltank,ミルタンク
해피너스,blissey,ハピナス
라이코,raikou,ライコウ
앤테이,entei,エンテイ
스이쿤,suicune,スイクン
애버라스,larvitar,ヨーギラス
데기라스,pupitar,サナギラス
마기라스,tyranitar,バンギラス
루기아,lugia,ルギア
칠색조,ho-oh,ホウオウ
세레비,celebi,セレビィ
나무지기,treecko,キモリ
나무돌이,grovyle,ジュプトル
나무킹,sceptile,ジュカイン
아차모,torchic,アチャモ
영치코,combusken,ワカシャモ
번치코,blaziken,バシャーモ
물짱이,mudkip,ミズゴロウ
늪짱이,marshtomp,ヌマクロー
대짱이,swampert,ラグラージ
포챠나,poochyena,ポチエナ
그라에나,mightyena,グラエナ
지그제구리,zigzagoon,ジグザグマ
직구리,linoone,マッスグマ
개무소,wurmple,ケムッソ
실쿤,silcoon,カラサリス
뷰티플라이,beautifly,アゲハント
카스쿤,cascoon,マユルド
독케일,dustox,ドクケイル
연꽃몬,lotad,ハスボー
로토스,lombre,ハスブレロ
로파파,ludicolo,ルンパッパ
도토링,seedot,タネボー
잎새코,nuzleaf,コノハナ
다탱구,shiftry,ダーテング
테일로,taillow,スバメ
스왈로,swellow,オオスバメ
갈모매,wingull,キャモメ
패리퍼,pelipper,ペリッパー
랄토스,ralts,ラルトス
킬리아,kirlia,キルリア
가디안,gardevoir,サーナイト
비구술,surskit,アメタマ
비나방,masquerain,アメモース
버섯꼬,shroomish,キノココ
버섯모,breloom,キノガッサ
게을로,slakoth,ナマケロ
발바로,vigoroth,ヤルキモノ
게을킹,slaking,ケッキング
토중몬,nincada,ツチニン
아이스크,ninjask,テッカニン
껍질몬,shedinja,ヌケニン
소곤룡,whismur,ゴニョニョ
노공룡,loudred,ドゴーム
폭음룡,exploud,バクオング
마크탕,makuhita,マクノシタ
하리뭉,hariyama,ハリテヤマ
루리리,azurill,ルリリ
코코파스,nosepass,ノズパス
에나비,skitty,エネコ
델케티,delcatty,エネコロロ
깜까미,sableye,ヤミラミ
입치트,mawile,クチート
가보리,aron,ココドラ
갱도라,lairon,コドラ
보스로라,aggron,ボスゴドラ
요가랑,meditite,アサナン
요가램,medicham,チャーレム
썬더라이,electrike,ラクライ
썬더볼트,manectric,ライボルト
플러시,plusle,プラスル
마이농,minun,マイナン
볼비트,volbeat,バルビート
네오비트,illumise,イルミーゼ
로젤리아,roselia,ロゼリア
꼴깍몬,gulpin,ゴクリン
꿀꺽몬,swalot,マルノーム
샤프니아,carvanha,キバニア
샤크니아,sharpedo,サメハダー
고래왕자,wailmer,ホエルコ
고래왕,wailord,ホエルオー
둔타,numel,ドンメル
폭타,camerupt,バクーダ
코터스,torkoal,コータス
피그점프,spoink,バネブー
피그킹,grumpig,ブーピッグ
얼루기,spinda,パッチール
톱치,trapinch,ナックラー
비브라바,vibrava,ビブラーバ
플라이곤,flygon,フライゴン
선인왕,cacnea,サボネア
밤선인,cacturne,ノクタス
파비코,swablu,チルット
파비코리,altaria,チルタリス
쟝고,zangoose,ザングース
세비퍼,seviper,ハブネーク
루나톤,lunatone,ルナトーン
솔록,solrock,ソルロック
미꾸리,barboach,ドジョッチ
메깅,whiscash,ナマズン
가재군,corphish,ヘイガニ
가재장군,crawdaunt,シザリガー
오뚝군,baltoy,ヤジロン
점토도리,claydol,ネンドール
릴링,lileep,リリーラ
릴리요,cradily,ユレイドル
아노딥스,anorith,アノプス
아말도,armaldo,アーマルド
빈티나,feebas,ヒンバス
밀로틱,milotic,ミロカロス
캐스퐁,castform,ポワルン
켈리몬,kecleon,カクレオン
어둠대신,shuppet,カゲボウズ
다크펫,banette,ジュペッタ
해골몽,duskull,ヨマワル
미라몽,dusclops,サマヨール
트로피우스,tropius,トロピウス
치렁,chimecho,チリーン
앱솔,absol,アブソル
마자,wynaut,ソーナノ
눈꼬마,snorunt,ユキワラシ
얼음귀신,glalie,オニゴーリ
대굴레오,spheal,タマザラシ
씨레오,sealeo,トドグラー
씨카이저,walrein,トドゼルガ
진주몽,clamperl,パールル
헌테일,huntail,ハンテール
분홍장이,gorebyss,サクラビス
시라칸,relicanth,ジーランス
사랑동이,luvdisc,ラブカス
아공이,bagon,タツベイ
쉘곤,shelgon,コモルー
보만다,salamence,ボーマンダ
메탕,beldum,ダンバル
메탕구,metang,メタング
메타그로스,metagross,メタグロス
레지락,regirock,レジロック
레지아이스,regice,レジアイス
레지스틸,registeel,レジスチル
라티아스,latias,ラティアス
라티오스,latios,ラティオス
가이오가,kyogre,カイオーガ
그란돈,groudon,グラードン
레쿠쟈,rayquaza,レックウザ
지라치,jirachi,ジラーチ
테오키스,deoxys,デオキシス
모부기,turtwig,ナエトル
수풀부기,grotle,ハヤシガメ
토대부기,torterra,ドダイトス
불꽃숭이,chimchar,ヒコザル
파이숭이,monferno,モウカザル
초염몽,infernape,ゴウカザル
팽도리,piplup,ポッチャマ
팽태자,prinplup,ポッタイシ
엠페르트,empoleon,エンペルト
찌르꼬,starly,ムックル
찌르버드,staravia,ムクバード
찌르호크,staraptor,ムクホーク
비버니,bidoof,ビッパ
비버통,bibarel,ビーダル
귀뚤뚜기,kricketot,コロボーシ
귀뚤톡크,kricketune,コロトック
꼬링크,shinx,コリンク
럭시오,luxio,ルクシオ
렌트라,luxray,レントラー
꼬몽울,budew,スボミー
로즈레이드,roserade,ロズレイド
두개도스,cranidos,ズガイドス
램펄드,rampardos,ラムパルド
방패톱스,shieldon,タテトプス
바리톱스,bastiodon,トリデプス
도롱충이,burmy,ミノムッチ
도롱마담,wormadam,ミノマダム
나메일,mothim,ガーメイル
세꿀버리,combee,ミツハニー
비퀸,vespiquen,ビークイン
파치리스,pachirisu,パチリス
브이젤,buizel,ブイゼル
플로젤,floatzel,フローゼル
체리버,cherubi,チェリンボ
체리꼬,cherrim,チェリム
깝질무,shellos,カラナクシ
트리토돈,gastrodon,トリトドン
겟핸보숭,ambipom,エテボース
흔들풍손,drifloon,フワンテ
둥실라이드,drifblim,フワライド
이어롤,buneary,ミミロル
이어롭,lopunny,ミミロップ
무우마직,mismagius,ムウマージ
돈크로우,honchkrow,ドンカラス
나옹마,glameow,ニャルマー
몬냥이,purugly,ブニャット
랑딸랑,chingling,リーシャン
스컹뿡,stunky,スカンプー
스컹탱크,skuntank,スカタンク
동미러,bronzor,ドーミラー
동탁군,bronzong,ドータクン
꼬지지,bonsly,ウソハチ
흉내내,mime jr.,マネネ
핑복,happiny,ピンプク
페라페,chatot,ペラップ
화강돌,spiritomb,ミカルゲ
딥상어동,gible,フカマル
한바이트,gabite,ガバイト
한카리아스,garchomp,ガブリアス
먹고자,munchlax,ゴンベ
리오르,riolu,リオル
루카리오,lucario,ルカリオ
히포포타스,hippopotas,ヒポポタス
하마돈,hippowdon,カバルドン
스콜피,skorupi,スコルピ
드래피온,drapion,ドラピオン
삐딱구리,croagunk,グレッグル
독개굴,toxicroak,ドクロッグ
무스틈니,carnivine,マスキッパ
형광어,finneon,ケイコウオ
네오라이트,lumineon,ネオラント
타만타,mantyke,タマンタ
눈쓰개,snover,ユキカブリ
눈설왕,abomasnow,ユキノオー
포푸니라,weavile,マニューラ
자포코일,magnezone,ジバコイル
내룸벨트,lickilicky,ベロベルト
거대코뿌리,rhyperior,ドサイドン
덩쿠림보,tangrowth,モジャンボ
에레키블,electivire,エレキブル
마그마번,magmortar,ブーバーン
토게키스,togekiss,トゲキッス
메가자리,yanmega,メガヤンマ
리피아,leafeon,リーフィア
글레이시아,glaceon,グレイシア
글라이온,gliscor,グライオン
맘모꾸리,mamoswine,マンムー
폴리곤Z,porygon-z,ポリゴンＺ
엘레이드,gallade,エルレイド
대코파스,probopass,ダイノーズ
야느와르몽,dusknoir,ヨノワール
눈여아,froslass,ユキメノコ
로토무,rotom,ロトム
유크시,uxie,ユクシー
엠라이트,mesprit,エムリット
아그놈,azelf,アグノム
디아루가,dialga,ディアルガ
펄기아,palkia,パルキア
히드런,heatran,ヒードラン
레지기가스,regigigas,レジギガス
기라티나,giratina,ギラティナ
크레세리아,cresselia,クレセリア
피오네,phione,フィオネ
마나피,manaphy,マナフィ
다크라이,darkrai,ダークライ
쉐이미,shaymin,シェイミ
아르세우스,arceus,アルセウス
비크티니,victini,ビクティニ
주리비얀,snivy,ツタージャ
샤비,servine,ジャノビー
샤로다,serperior,ジャローダ
뚜꾸리,tepig,ポカブ
챠오꿀,pignite,チャオブー
염무왕,emboar,エンブオー
수댕이,oshawott,ミジュマル
쌍검자비,dewott,フタチマル
대검귀,samurott,ダイケンキ
보르쥐,patrat,ミネズミ
보르그,watchog,ミルホッグ
요테리,lillipup,ヨーテリー
하데리어,herdier,ハーデリア
바랜드,stoutland,ムーランド
쌔비냥,purrloin,チョロネコ
레파르다스,liepard,レパルダス
야나프,pansage,ヤナップ
야나키,simisage,ヤナッキー
바오프,pansear,バオップ
바오키,simisear,バオッキー
앗차프,panpour,ヒヤップ
앗차키,simipour,ヒヤッキー
몽나,munna,ムンナ
몽얌나,musharna,ムシャーナ
콩둘기,pidove,マメパト
유토브,tranquill,ハトーボー
켄호로우,unfezant,ケンホロウ
줄뮤마,blitzle,シママ
제브라이카,zebstrika,ゼブライカ
단굴,roggenrola,ダンゴロ
암트르,boldore,ガントル
기가이어스,gigalith,ギガイアス
또르박쥐,woobat,コロモリ
맘박쥐,swoobat,ココロモリ
두더류,drilbur,モグリュー
몰드류,excadrill,ドリュウズ
다부니,audino,タブンネ
으랏차,timburr,ドッコラー
토쇠골,gurdurr,ドテッコツ
노보청,conkeldurr,ローブシン
동챙이,tympole,オタマロ
두까비,palpitoad,ガマガル
두빅굴,seismitoad,ガマゲロゲ
던지미,throh,ナゲキ
타격귀,sawk,ダゲキ
두르보,sewaddle,クルミル
두르쿤,swadloon,クルマユ
모아머,leavanny,ハハコモリ
마디네,venipede,フシデ
휠구,whirlipede,ホイーガ
펜드라,scolipede,ペンドラー
소미안,cottonee,モンメン
엘풍,whimsicott,エルフーン
치릴리,petilil,チュリネ
드레디어,lilligant,ドレディア
배쓰나이,basculin,バスラオ
깜눈크,sandile,メグロコ
악비르,krokorok,ワルビル
악비아르,krookodile,ワルビアル
달막화,darumaka,ダルマッカ
불비달마,darmanitan,ヒヒダルマ
마라카치,maractus,マラカッチ
돌살이,dwebble,イシズマイ
암팰리스,crustle,イワパレス
곤율랭,scraggy,ズルッグ
곤율거니,scrafty,ズルズキン
심보러,sigilyph,シンボラー
데스마스,yamask,デスマス
데스니칸,cofagrigus,デスカーン
프로토가,tirtouga,プロトーガ
늑골라,carracosta,アバゴーラ
아켄,archen,アーケン
아케오스,archeops,アーケオス
깨봉이,trubbish,ヤブクロン
더스트나,garbodor,ダストダス
조로아,zorua,ゾロア
조로아크,zoroark,ゾロアーク
치라미,minccino,チラーミィ
치라치노,cinccino,チラチーノ
고디탱,gothita,ゴチム
고디보미,gothorita,ゴチミル
고디모아젤,gothitelle,ゴチルゼル
유니란,solosis,ユニラン
듀란,duosion,ダブラン
란쿨루스,reuniclus,ランクルス
꼬지보리,ducklett,コアルヒー
스완나,swanna,スワンナ
바닐프티,vanillite,バニプッチ
바닐리치,vanillish,バニリッチ
배바닐라,vanilluxe,バイバニラ
사철록,deerling,シキジカ
바라철록,sawsbuck,メブキジカ
에몽가,emolga,エモンガ
딱정곤,karrablast,カブルモ
슈바르고,escavalier,シュバルゴ
깜놀버슬,foongus,タマゲタケ
뽀록나,amoonguss,モロバレル
탱그릴,frillish,プルリル
탱탱겔,jellicent,ブルンゲル
맘복치,alomomola,ママンボウ
파쪼옥,joltik,バチュル
전툴라,galvantula,デンチュラ
철시드,ferroseed,テッシード
너트령,ferrothorn,ナットレイ
기어르,klink,ギアル
기기어르,klang,ギギアル
기기기어르,klinklang,ギギギアル
저리어,tynamo,シビシラス
저리릴,eelektrik,シビビール
저리더프,eelektross,シビルドン
리그레,elgyem,リグレー
벰크,beheeyem,オーベム
불켜미,litwick,ヒトモシ
램프라,lampent,ランプラー
샹델라,chandelure,シャンデラ
터검니,axew,キバゴ
액슨도,fraxure,オノンド
액스라이즈,haxorus,オノノクス
코고미,cubchoo,クマシュン
툰베어,beartic,ツンベアー
프리지오,cryogonal,フリージオ
쪼마리,shelmet,チョボマキ
어지리더,accelgor,アギルダー
메더,stunfisk,マッギョ
비조푸,mienfoo,コジョフー
비조도,mienshao,コジョンド
크리만,druddigon,クリムガン
골비람,golett,ゴビット
골루그,golurk,ゴルーグ
자망칼,pawniard,コマタナ
절각참,bisharp,キリキザン
버프론,bouffalant,バッフロン
수리둥보,rufflet,ワシボン
워글,braviary,ウォーグル
벌차이,vullaby,バルチャイ
버랜지나,mandibuzz,バルジーナ
앤티골,heatmor,クイタラン
아이앤트,durant,アイアント
모노두,deino,モノズ
디헤드,zweilous,ジヘッド
삼삼드래,hydreigon,サザンドラ
활화르바,larvesta,メラルバ
불카모스,volcarona,ウルガモス
코바르온,cobalion,コバルオン
테라키온,terrakion,テラキオン
비리디온,virizion,ビリジオン
토네로스,tornadus,トルネロス
볼트로스,thundurus,ボルトロス
레시라무,reshiram,レシラム
제크로무,zekrom,ゼクロム
랜드로스,landorus,ランドロス
큐레무,kyurem,キュレム
케르디오,keldeo,ケルディオ
메로엣타,meloetta,メロエッタ
게노세크트,genesect,ゲノセクト
도치마론,chespin,ハリマロン
도치보구,quilladin,ハリボーグ
브리가론,chesnaught,ブリガロン
푸호꼬,fennekin,フォッコ
테르나,braixen,テールナー
마폭시,delphox,マフォクシー
개구마르,froakie,ケロマツ
개굴반장,frogadier,ゲコガシラ
개굴닌자,greninja,ゲッコウガ
파르빗,bunnelby,ホルビー
파르토,diggersby,ホルード
화살꼬빈,fletchling,ヤヤコマ
불화살빈,fletchinder,ヒノヤコマ
파이어로,talonflame,ファイアロー
분이벌레,scatterbug,コフキムシ
분떠도리,spewpa,コフーライ
비비용,vivillon,ビビヨン
레오꼬,litleo,シシコ
화염레오,pyroar,カエンジシ
플라베베,flabébé,フラベベ
플라엣테,floette,フラエッテ
플라제스,florges,フラージェス
메이클,skiddo,メェークル
고고트,gogoat,ゴーゴート
판짱,pancham,ヤンチャム
부란다,pangoro,ゴロンダ
트리미앙,furfrou,トリミアン
냐스퍼,espurr,ニャスパー
냐오닉스,meowstic,ニャオニクス
단칼빙,honedge,ヒトツキ
쌍검킬,doublade,ニダンギル
킬가르도,aegislash,ギルガルド
슈쁘,spritzee,シュシュプ
프레프티르,aromatisse,フレフワン
나룸퍼프,swirlix,ペロッパフ
나루림,slurpuff,ペロリーム
오케이징,inkay,マーイーカ
칼라마네로,malamar,カラマネロ
거북손손,binacle,カメテテ
거북손데스,barbaracle,ガメノデス
수레기,skrelp,クズモー
드래캄,dragalge,ドラミドロ
완철포,clauncher,ウデッポウ
블로스터,clawitzer,ブロスター
목도리키텔,helioptile,エリキテル
일레도리자드,heliolisk,エレザード
티고라스,tyrunt,チゴラス
견고라스,tyrantrum,ガチゴラス
아마루스,amaura,アマルス
아마루르가,aurorus,アマルルガ
님피아,sylveon,ニンフィア
루차불,hawlucha,ルチャブル
데덴네,dedenne,デデンネ
멜리시,carbink,メレシー
미끄메라,goomy,ヌメラ
미끄네일,sliggoo,ヌメイル
미끄래곤,goodra,ヌメルゴン
클레피,klefki,クレッフィ
나목령,phantump,ボクレー
대로트,trevenant,オーロット
호바귀,pumpkaboo,バケッチャ
펌킨인,gourgeist,パンプジン
꽁어름,bergmite,カチコール
크레베이스,avalugg,クレベース
음뱃,noibat,オンバット
음번,noivern,オンバーン
제르네아스,xerneas,ゼルネアス
이벨타르,yveltal,イベルタル
지가르데,zygarde,ジガルデ
디안시,diancie,ディアンシー
후파,hoopa,フーパ
볼케니온,volcanion,ボルケニオン
나몰빼미,rowlet,モクロー
빼미스로우,dartrix,フクスロー
모크나이퍼,decidueye,ジュナイパー
냐오불,litten,ニャビー
냐오히트,torracat,ニャヒート
어흥염,incineroar,ガオガエン
누리공,popplio,アシマリ
키요공,brionne,オシャマリ
누리레느,primarina,アシレーヌ
콕코구리,pikipek,ツツケラ
크라파,trumbeak,ケララッパ
왕큰부리,toucannon,ドデカバシ
영구스,yungoos,ヤングース
형사구스,gumshoos,デカグース
턱지충이,grubbin,アゴジムシ
전지충이,charjabug,デンヂムシ
투구뿌논,vikavolt,クワガノン
오기지게,crabrawler,マケンカニ
모단단게,crabominable,ケケンカニ
춤추새,oricorio,オドリドリ
에블리,cutiefly,アブリー
에리본,ribombee,アブリボン
암멍이,rockruff,イワンコ
루가루암,lycanroc,ルガルガン
약어리,wishiwashi,ヨワシ
시마사리,mareanie,ヒドイデ
더시마사리,toxapex,ドヒドイデ
머드나기,mudbray,ドロバンコ
만마드,mudsdale,バンバドロ
물거미,dewpider,シズクモ
깨비물거미,araquanid,オニシズクモ
짜랑랑,fomantis,カリキリ
라란티스,lurantis,ラランテス
자마슈,morelull,ネマシュ
마셰이드,shiinotic,マシェード
야도뇽,salandit,ヤトウモリ
염뉴트,salazzle,エンニュート
포곰곰,stufful,ヌイコグマ
이븐곰,bewear,キテルグマ
달콤아,bounsweet,アマカジ
달무리나,steenee,アママイコ
달코퀸,tsareena,アマージョ
큐아링,comfey,キュワワー
하랑우탄,oranguru,ヤレユータン
내던숭이,passimian,ナゲツケサル
꼬시레,wimpod,コソクムシ
갑주무사,golisopod,グソクムシャ
모래꿍,sandygast,スナバァ
모래성이당,palossand,シロデスナ
해무기,pyukumuku,ナマコブシ
타입:널,type: null,タイプ：ヌル
실버디,silvally,シルヴァディ
메테노,minior,メテノ
자말라,komala,ネッコアラ
폭거북스,turtonator,バクガメス
토게데마루,togedemaru,トゲデマル
따라큐,mimikyu,ミミッキュ
치갈기,bruxish,ハギギシリ
할비롱,drampa,ジジーロン
타타륜,dhelmise,ダダリン
짜랑꼬,jangmo-o,ジャラコ
짜랑고우,hakamo-o,ジャランゴ
짜랑고우거,kommo-o,ジャラランガ
카푸꼬꼬꼭,tapu koko,カプ・コケコ
카푸나비나,tapu lele,カプ・テテフ
카푸브루루,tapu bulu,カプ・ブルル
카푸느지느,tapu fini,カプ・レヒレ
코스모그,cosmog,コスモッグ
코스모움,cosmoem,コスモウム
솔가레오,solgaleo,ソルガレオ
루나아라,lunala,ルナアーラ
텅비드,nihilego,ウツロイド
매시붕,buzzwole,マッシブーン
페로코체,pheromosa,フェローチェ
전수목,xurkitree,デンジュモク
철화구야,celesteela,テッカグヤ
종이신도,kartana,カミツルギ
악식킹,guzzlord,アクジキング
네크로즈마,necrozma,ネクロズマ
마기아나,magearna,マギアナ
마샤도,marshadow,マーシャドー
베베놈,poipole,ベベノム
아고용,naganadel,アーゴヨン
차곡차곡,stakataka,ツンデツンデ
두파팡,blacephalon,ズガドーン
제라오라,zeraora,ゼラオラ
멜탄,meltan,メルタン
멜메탈,melmetal,メルメタル
흥나숭,grookey,サルノリ
채키몽,thwackey,バチンキー
고릴타,rillaboom,ゴリランダー
염버니,scorbunny,ヒバニー
래비풋,raboot,ラビフット
에이스번,cinderace,エースバーン
울머기,sobble,メッソン
누겔레온,drizzile,ジメレオン
인텔리레온,inteleon,インテレオン
탐리스,skwovet,ホシガリス
요씽리스,greedent,ヨクバリス
파라꼬,rookiedee,ココガラ
파크로우,corvisquire,アオガラス
아머까오,corviknight,アーマーガア
두루지벌레,blipbug,サッチムシ
레돔벌레,dottler,レドームシ
이올브,orbeetle,イオルブ
훔처우,nickit,クスネ
폭슬라이,thievul,フォクスライ
꼬모카,gossifleur,ヒメンカ
백솜모카,eldegoss,ワタシラガ
우르,wooloo,ウールー
배우르,dubwool,バイウールー
깨물부기,chewtle,カムカメ
갈가부기,drednaw,カジリガメ
멍파치,yamper,ワンパチ
펄스멍,boltund,パルスワン
탄동,rolycoly,タンドン
탄차곤,carkol,トロッゴン
석탄산,coalossal,セキタンザン
과사삭벌레,applin,カジッチュ
애프룡,flapple,アップリュー
단지래플,appletun,タルップル
모래뱀,silicobra,スナヘビ
사다이사,sandaconda,サダイジャ
윽우지,cramorant,ウッウ
찌로꼬치,arrokuda,サシカマス
꼬치조,barraskewda,カマスジョー
일레즌,toxel,エレズン
스트린더,toxtricity,ストリンダー
태우지네,sizzlipede,ヤクデ
다태우지네,centiskorch,マルヤクデ
