Korean,English,Japanese
텔레파시,Telepathy,テレパシー
변덕쟁이,Moody,ムラっけ
방진,Overcoat,ぼうじん
독수,Poison Touch,どくしゅ
재생력,Regenerator,さいせいりょく
부풀린가슴,Big Pecks,はとむね
모래헤치기,Sand Rush,すなかき
미라클스킨,Wonder Skin,ミラクルスキン
애널라이즈,Analytic,アナライズ
일루전,Illusion,イリュージョン
괴짜,Imposter,かわりもの
틈새포착,Infiltrator,すりぬけ
미라,Mummy,ミイラ
자기과신,Moxie,じしんかじょう
정의의마음,Justified,せいぎのこころ
주눅,Rattled,びびり
매직미러,Magic Bounce,マジックミラー
초식,Sap Sipper,そうしょく
짓궂은마음,Prankster,いたずらごころ
모래의힘,Sand Force,すなのちから
철가시,Iron Barbs,てつのトゲ
달마모드,Zen Mode,ダルマモード
승리의별,Victory Star,しょうりのほし
터보블레이즈,Turboblaze,ターボブレイズ
테라볼티지,Teravolt,テラボルテージ
아로마베일,Aroma Veil,アロマベール
플라워베일,Flower Veil,フラワーベール
볼주머니,Cheek Pouch,ほおぶくろ
변환자재,Protean,へんげんじざい
퍼코트,Fur Coat,ファーコート
매지션,Magician,マジシャン
방탄,Bulletproof,ぼうだん
승기,Competitive,かちき
옹골찬턱,Strong Jaw,がんじょうあご
프리즈스킨,Refrigerate,フリーズスキン
스위트베일,Sweet Veil,スイートベール
배틀스위치,Stance Change,バトルスイッチ
질풍날개,Gale Wings,はやてのつばさ
메가런처,Mega Launcher,メガランチャー
풀모피,Grass Pelt,くさのけがわ
공생,Symbiosis,きょうせい
단단한발톱,Tough Claws,かたいツメ
페어리스킨,Pixilate,フェアリースキン
미끈미끈,Gooey,ぬめぬめ
스카이스킨,Aerilate,スカイスキン
부자유친,Parental Bond,おやこあい
다크오라,Dark Aura,ダークオーラ
페어리오라,Fairy Aura,フェアリーオーラ
오라브레이크,Aura Break,オーラブレイク
시작의바다,Primordial Sea,はじまりのうみ
끝의대지,Desolate Land,おわりのだいち
델타스트림,Delta Stream,デルタストリーム
지구력,Stamina,じきゅうりょく
도망태세,Wimp Out,にげごし
위기회피,Emergency Exit,ききかいひ
꾸덕꾸덕굳기,Water Compaction,みずがため
무도한행동,Merciless,ひとでなし
리밋실드,Shields Down,リミットシールド
잠복,Stakeout,はりこみ
수포,Water Bubble,すいほう
강철술사,Steelworker,はがねつかい
발끈,Berserk,ぎゃくじょう
눈치우기,Slush Rush,ゆきかき
원격,Long Reach,えんかく
촉촉보이스,Liquid Voice,うるおいボイス
힐링시프트,Triage,ヒーリングシフト
일렉트릭스킨,Galvanize,エレキスキン
서핑테일,Surge Surfer,サーフテール
어군,Schooling,ぎょぐん
탈,Disguise,ばけのかわ
유대변화,Battle Bond,きずなへんげ
스웜체인지,Power Construct,スワームチェンジ
부식,Corrosion,ふしょく
절대안깸,Comatose,ぜったいねむり
여왕의위엄,Queenly Majesty,じょおうのいげん
내용물분출,Innards Out,とびだすなかみ
무희,Dancer,おどりこ
배터리,Battery,バッテリー
복슬복슬,Fluffy,もふもふ
비비드바디,Dazzling,ビビッドボディ
소울하트,Soul-Heart,ソウルハート
컬리헤어,Tangling Hair,カーリーヘアー
리시버,Receiver,レシーバー
화학의힘,Power of Alchemy,かがくのちから
비스트부스트,Beast Boost,ビーストブースト
AR시스템,RKS System,ＡＲシステム
일렉트릭메이커,Electric Surge,エレキメイカー
사이코메이커,Psychic Surge,サイコメイカー
미스트메이커,Grassy Surge,グラスメイカー
그래스메이커,Misty Surge,ミストメイカー
메탈프로텍트,Full Metal Body,メタルプロテクト
스펙터가드,Shadow Shield,ファントムガード
프리즘아머,Prism Armor,プリズムアーマー
브레인포스,Neuroforce,ブレインフォース
불요의검,Intrepid Sword,ふとうのけん
불굴의방패,Dauntless Shield,ふくつのたて
리베로,Libero,リベロ
볼줍기,Ball Fetch,たまひろい
솜털,Cotton Down,わたげ
스크루지느러미,Propeller Tail,スクリューおびれ
미러아머,Mirror Armor,ミラーアーマー
그대로꿀꺽미사일,Gulp Missile,うのミサイル
굳건한신념,Stalwart,すじがねいり
증기기관,Steam Engine,じょうききかん
펑크록,Punk Rock,パンクロック
모래뿜기,Sand Spit,すなはき
얼음인분,Ice Scales,こおりのりんぷん
숙성,Ripen,じゅくせい
아이스페이스,Ice Face,アイスフェイス
파워스폿,Power Spot,パワースポット
의태,Mimicry,ぎたい
배리어프리,Screen Cleaner,バリアフリー
강철정신,Steely Spirit,はがねのせいしん
멸망의바디,Perish Body,ほろびのボディ
떠도는영혼,Wandering Spirit,さまようたましい
무아지경,Gorilla Tactics,ごりむちゅう
화학변화가스,Neutralizing Gas,かがくへんかガス
파스텔베일,Pastel Veil,パステルベール
꼬르륵스위치,Hunger Switch,はらぺこスイッチ
퀵드로,Quick Draw,クイックドロウ
보이지않는주먹,Unseen Fist,ふかしのこぶし
기묘한약,Curious Medicine,きみょうなくすり
트랜지스터,Transistor,トランジスタ
용의턱,Dragon’s Maw,りゅうのあぎと
백의울음,Chilling Neigh,しろのいななき
흑의울음,Grim Neigh,くろのいななき
혼연일체,As One,じんばいったい
가시지않는향기,Lingering Aroma,とれないにおい
넘치는씨,Seed Sower,こぼれダネ
열교환,Thermal Exchange,ねつこうかん
분노의껍질,Anger Shell,いかりのこうら
정화의소금,Purifying Salt,きよめのしお
노릇노릇바디,Well-Baked Body,こんがりボディ
바람타기,Wind Rider,かぜのり
파수견,Guard Dog,ばんけん
바위나르기,Rocky Payload,いわはこび
풍력발전,Wind Power,ふうりょくでんき
마이티체인지,Zero to Hero,マイティチェンジ
사령탑,Commander,しれいとう
전기로바꾸기,Electromorphosis,でんきにかえる
고대활성,Protosynthesis,こだいかっせい
쿼크차지,Quark Drive,クォークチャージ
황금몸,Good as Gold,おうごんのからだ
재앙의그릇,Vessel of Ruin,わざわいのうつわ
재앙의검,Sword of Ruin,わざわいのつるぎ
재앙의목간,Tablets of Ruin,わざわいのおふだ
재앙의구슬,Beads of Ruin,わざわいのたま
진홍빛고동,Orichalcum Pulse,ひひいろのこどう
하드론엔진,Hadron Engine,ハドロンエンジン
편승,Opportunist,びんじょう
되새김질,Cud Chew,はんすう
예리함,Sharpness,きれあじ
총대장,Supreme Overlord,そうだいしょう
협연,Costar,きょうえん
독치장,Toxic Debris,どくげしょう
테일아머,Armor Tail,テイルアーマー
흙먹기,Earth Eater,どしょく
균사의힘,Mycelium Might,きんしのちから
대접,Hospitality,おもてなし
심안,Mind's Eye,しんがん
초상투영,Embody Aspect,おもかげやどし
독사슬,Toxic Chain,どくのくさり
감미로운꿀,Supersweet Syrup,かんろなミツ
테라체인지,Tera Shift,テラスチェンジ
테라셸,Tera Shell,テラスシェル
제로포밍,Teraform Zero,ゼロフォーミング
독조종,Poison Puppeteer,どくくぐつ
